week_sort,value,type,Season,Age Group
Year 1 week 44,23.0,cases,2023/2024,0-5 months
Year 1 week 44,1.0,cases,2024/2025,0-5 months
Year 1 week 45,0.0,cases,2015/2016,0-5 months
Year 1 week 45,5.0,cases,2016/2017,0-5 months
Year 1 week 45,3.0,cases,2017/2018,0-5 months
Year 1 week 45,0.0,cases,2018/2019,0-5 months
Year 1 week 45,11.0,cases,2019/2020,0-5 months
Year 1 week 45,0.0,cases,2020/2021,0-5 months
Year 1 week 45,42.0,cases,2021/2022,0-5 months
Year 1 week 45,306.0,cases,2022/2023,0-5 months
Year 1 week 45,54.0,cases,2023/2024,0-5 months
Year 1 week 45,5.0,cases,2024/2025,0-5 months
Year 1 week 46,4.0,cases,2015/2016,0-5 months
Year 1 week 46,12.0,cases,2016/2017,0-5 months
Year 1 week 46,4.0,cases,2017/2018,0-5 months
Year 1 week 46,7.0,cases,2018/2019,0-5 months
Year 1 week 46,11.0,cases,2019/2020,0-5 months
Year 1 week 46,0.0,cases,2020/2021,0-5 months
Year 1 week 46,30.0,cases,2021/2022,0-5 months
Year 1 week 46,236.0,cases,2022/2023,0-5 months
Year 1 week 46,73.0,cases,2023/2024,0-5 months
Year 1 week 46,3.0,cases,2024/2025,0-5 months
Year 1 week 47,1.0,cases,2015/2016,0-5 months
Year 1 week 47,22.0,cases,2016/2017,0-5 months
Year 1 week 47,9.0,cases,2017/2018,0-5 months
Year 1 week 47,2.0,cases,2018/2019,0-5 months
Year 1 week 47,12.0,cases,2019/2020,0-5 months
Year 1 week 47,0.0,cases,2020/2021,0-5 months
Year 1 week 47,25.0,cases,2021/2022,0-5 months
Year 1 week 47,169.0,cases,2022/2023,0-5 months
Year 1 week 47,123.0,cases,2023/2024,0-5 months
Year 1 week 47,11.0,cases,2024/2025,0-5 months
Year 1 week 48,11.0,cases,2015/2016,0-5 months
Year 1 week 48,15.0,cases,2016/2017,0-5 months
Year 1 week 48,10.0,cases,2017/2018,0-5 months
Year 1 week 48,4.0,cases,2018/2019,0-5 months
Year 1 week 48,36.0,cases,2019/2020,0-5 months
