year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2016,U09,15-44,8615120,259,68,2887,814,Denmark,DNK
2016,U09,45-64,6012752,238,123,4327,2343,Denmark,DNK
2016,U09,65-74,2548660,147,119,6461,5245,Denmark,DNK
2016,U09,75-84,1277944,87,78,7457,6764,Denmark,DNK
2016,U09,85+,474372,28,26,5742,5367,Denmark,DNK
2016,U09,Alle,22775428,1033,501,4740,2411,Denmark,DNK
2016,U10,00-01,466196,61,27,12980,5069,Denmark,DNK
2016,U10,02-06,1240760,94,22,7199,1746,Denmark,DNK
2016,U10,07-14,2149228,88,15,4039,643,Denmark,DNK
2016,U10,15-44,8685544,296,82,3087,917,Denmark,DNK
2016,U10,45-64,6048328,237,113,4034,2040,Denmark,DNK
2016,U10,65-74,2566832,157,102,7094,4775,Denmark,DNK
2016,U10,75-84,1287836,99,90,8089,7441,Denmark,DNK
2016,U10,85+,477852,39,35,8396,7554,Denmark,DNK
2016,U10,Alle,22922576,1071,486,4708,2261,Denmark,DNK
2016,U11,00-01,466196,40,17,7241,2524,Denmark,DNK
2016,U11,02-06,1240760,121,26,10199,2762,Denmark,DNK
2016,U11,07-14,2149228,92,9,4025,366,Denmark,DNK
2016,U11,15-44,8685544,273,81,3115,963,Denmark,DNK
2016,U11,45-64,6048328,234,138,4277,2663,Denmark,DNK
2016,U11,65-74,2566832,131,99,5720,4435,Denmark,DNK
2016,U11,75-84,1287836,85,74,7534,6713,Denmark,DNK
2016,U11,85+,477852,24,24,4788,4788,Denmark,DNK
2016,U11,Alle,22922576,1000,468,4564,2295,Denmark,DNK
2016,U12,00-01,466196,44,22,9561,4823,Denmark,DNK
2016,U12,02-06,1240760,32,10,2990,1238,Denmark,DNK
2016,U12,07-14,2149228,23,4,1341,309,Denmark,DNK
2016,U12,15-44,8685544,130,56,1506,599,Denmark,DNK
2016,U12,45-64,6048328,100,62,1868,1168,Denmark,DNK
2016,U12,65-74,2566832,116,93,4865,3923,Denmark,DNK
2016,U12,75-84,1287836,78,71,6243,5681,Denmark,DNK
2016,U12,85+,477852,33,31,8592,8124,Denmark,DNK
2016,U12,Alle,22922576,556,349,2632,1671,Denmark,DNK
2016,U13,00-01,466196,7,1,1198,86,Denmark,DNK
2016,U13,02-06,1240760,10,5,919,333,Denmark,DNK
2016,U13,07-14,2149228,17,0,794,0,Denmark,DNK
2016,U13,15-44,8685544,89,34,807,299,Denmark,DNK
2016,U13,45-64,6048328,100,51,1885,971,Denmark,DNK
2016,U13,65-74,2566832,69,43,2893,1822,Denmark,DNK
2016,U13,75-84,1287836,50,44,4430,3939,Denmark,DNK
2016,U13,85+,477852,17,16,3800,3716,Denmark,DNK
2016,U13,Alle,22922576,359,194,1627,908,Denmark,DNK
2016,U14,00-01,469612,10,2,2007,325,Denmark,DNK
2016,U14,02-06,1239372,16,4,1463,301,Denmark,DNK
2016,U14,07-14,2149992,16,6,667,283,Denmark,DNK
2016,U14,15-44,8694816,72,23,851,270,Denmark,DNK
2016,U14,45-64,6049256,52,29,928,545,Denmark,DNK
2016,U14,65-74,2571208,40,22,1768,1080,Denmark,DNK
2016,U14,75-84,1291308,20,20,1880,1880,Denmark,DNK
2016,U14,85+,477400,8,8,1986,1986,Denmark,DNK
2016,U14,Alle,22942964,234,114,1101,572,Denmark,DNK
2016,U15,00-01,469612,11,3,2290,539,Denmark,DNK
2016,U15,02-06,1239372,9,0,946,0,Denmark,DNK
2016,U15,07-14,2149992,3,1,99,19,Denmark,DNK
2016,U15,15-44,8694816,36,14,359,149,Denmark,DNK
2016,U15,45-64,6049256,29,12,475,205,Denmark,DNK
2016,U15,65-74,2571208,28,20,1128,800,Denmark,DNK
2016,U15,75-84,1291308,20,18,1707,1543,Denmark,DNK
2016,U15,85+,477400,4,2,1265,820,Denmark,DNK
2016,U15,Alle,22942964,140,70,618,319,Denmark,DNK
2016,U16,00-01,469612,0,0,0,0,Denmark,DNK
2016,U16,02-06,1239372,6,0,448,0,Denmark,DNK
2016,U16,07-14,2149992,7,5,318,221,Denmark,DNK
2016,U16,15-44,8694816,24,10,304,111,Denmark,DNK
2016,U16,45-64,6049256,19,7,304,94,Denmark,DNK
2016,U16,65-74,2571208,12,8,529,385,Denmark,DNK
2016,U16,75-84,1291308,12,10,920,776,Denmark,DNK
2016,U16,85+,477400,4,4,819,819,Denmark,DNK
2016,U16,Alle,22942964,84,44,372,190,Denmark,DNK
2016,U17,00-01,469612,6,0,1755,0,Denmark,DNK
2016,U17,02-06,1239372,0,0,0,0,Denmark,DNK
2016,U17,07-14,2149992,2,0,205,0,Denmark,DNK
2016,U17,15-44,8694816,14,5,127,31,Denmark,DNK
2016,U17,45-64,6049256,16,8,271,133,Denmark,DNK
2016,U17,65-74,2571208,18,12,786,557,Denmark,DNK
2016,U17,75-84,1291308,4,2,529,306,Denmark,DNK
2016,U17,85+,477400,6,6,1734,1734,Denmark,DNK
2016,U17,Alle,22942964,66,33,329,166,Denmark,DNK
2016,U18,00-01,471552,2,0,324,0,Denmark,DNK
2016,U18,02-06,1236488,2,0,171,0,Denmark,DNK
2016,U18,07-14,2150400,2,0,81,0,Denmark,DNK
2016,U18,15-44,8701644,13,2,119,28,Denmark,DNK
2016,U18,45-64,6052868,12,8,227,166,Denmark,DNK
2016,U18,65-74,2575516,2,2,157,157,Denmark,DNK
2016,U18,75-84,1294996,4,4,318,318,Denmark,DNK
2016,U18,85+,477328,0,0,0,0,Denmark,DNK
2016,U18,Alle,22960792,37,16,165,87,Denmark,DNK
2016,U19,00-01,471552,0,0,0,0,Denmark,DNK
2016,U19,02-06,1236488,2,0,188,0,Denmark,DNK
2016,U19,07-14,2150400,2,0,81,0,Denmark,DNK
2016,U19,15-44,8701644,12,5,115,40,Denmark,DNK
2016,U19,45-64,6052868,9,7,143,115,Denmark,DNK
2016,U19,65-74,2575516,8,6,313,228,Denmark,DNK
2016,U19,75-84,1294996,4,2,318,174,Denmark,DNK
2016,U19,85+,477328,2,2,469,469,Denmark,DNK
2016,U19,Alle,22960792,39,22,161,88,Denmark,DNK
2016,U20,00-01,471552,0,0,0,0,Denmark,DNK
2016,U20,02-06,1236488,2,0,130,0,Denmark,DNK
2016,U20,07-14,2150400,0,0,0,0,Denmark,DNK
2016,U20,15-44,8701644,0,0,0,0,Denmark,DNK
