country,country_code,year,epiweek,month,age,type
Denmark,DNK,2018,38,09,0-5 months,cases
Denmark,DNK,2019,38,09,0-5 months,cases
Denmark,DNK,2020,38,09,0-5 months,cases
Denmark,DNK,2021,38,09,0-5 months,cases
Denmark,DNK,2022,38,09,0-5 months,cases
Denmark,DNK,2023,38,09,0-5 months,cases
Denmark,DNK,2024,38,09,0-5 months,cases
Denmark,DNK,2016,39,09,0-5 months,cases
Denmark,DNK,2017,39,09,0-5 months,cases
Denmark,DNK,2018,39,09,0-5 months,cases
Denmark,DNK,2019,39,09,0-5 months,cases
Denmark,DNK,2020,39,09,0-5 months,cases
Denmark,DNK,2021,39,09,0-5 months,cases
Denmark,DNK,2022,39,09,0-5 months,cases
Denmark,DNK,2023,39,09,0-5 months,cases
Denmark,DNK,2024,39,09,0-5 months,cases
Denmark,DNK,2015,40,09,0-5 months,cases
Denmark,DNK,2016,40,10,0-5 months,cases
Denmark,DNK,2017,40,10,0-5 months,cases
Denmark,DNK,2018,40,10,0-5 months,cases
Denmark,DNK,2019,40,09,0-5 months,cases
Denmark,DNK,2020,40,09,0-5 months,cases
Denmark,DNK,2021,40,10,0-5 months,cases
Denmark,DNK,2022,40,10,0-5 months,cases
Denmark,DNK,2023,40,10,0-5 months,cases
Denmark,DNK,2024,40,09,0-5 months,cases
Denmark,DNK,2015,41,10,0-5 months,cases
Denmark,DNK,2016,41,10,0-5 months,cases
Denmark,DNK,2017,41,10,0-5 months,cases
Denmark,DNK,2018,41,10,0-5 months,cases
Denmark,DNK,2019,41,10,0-5 months,cases
Denmark,DNK,2020,41,10,0-5 months,cases
Denmark,DNK,2021,41,10,0-5 months,cases
Denmark,DNK,2022,41,10,0-5 months,cases
Denmark,DNK,2023,41,10,0-5 months,cases
Denmark,DNK,2024,41,10,0-5 months,cases
Denmark,DNK,2015,42,10,0-5 months,cases
Denmark,DNK,2016,42,10,0-5 months,cases
Denmark,DNK,2017,42,10,0-5 months,cases
Denmark,DNK,2018,42,10,0-5 months,cases
Denmark,DNK,2019,42,10,0-5 months,cases
Denmark,DNK,2020,42,10,0-5 months,cases
Denmark,DNK,2021,42,10,0-5 months,cases
Denmark,DNK,2022,42,10,0-5 months,cases
Denmark,DNK,2023,42,10,0-5 months,cases
Denmark,DNK,2024,42,10,0-5 months,cases
Denmark,DNK,2015,43,10,0-5 months,cases
Denmark,DNK,2016,43,10,0-5 months,cases
Denmark,DNK,2017,43,10,0-5 months,cases
Denmark,DNK,2018,43,10,0-5 months,cases
Denmark,DNK,2019,43,10,0-5 months,cases
Denmark,DNK,2020,43,10,0-5 months,cases
Denmark,DNK,2021,43,10,0-5 months,cases
Denmark,DNK,2022,43,10,0-5 months,cases
Denmark,DNK,2023,43,10,0-5 months,cases
Denmark,DNK,2024,43,10,0-5 months,cases
Denmark,DNK,2015,44,10,0-5 months,cases
Denmark,DNK,2016,44,10,0-5 months,cases
Denmark,DNK,2017,44,10,0-5 months,cases
Denmark,DNK,2018,44,10,0-5 months,cases
Denmark,DNK,2019,44,10,0-5 months,cases
Denmark,DNK,2020,44,10,0-5 months,cases
Denmark,DNK,2021,44,11,0-5 months,cases
Denmark,DNK,2022,44,10,0-5 months,cases
Denmark,DNK,2023,44,10,0-5 months,cases
Denmark,DNK,2024,44,10,0-5 months,cases
Denmark,DNK,2015,45,11,0-5 months,cases
Denmark,DNK,2016,45,11,0-5 months,cases
Denmark,DNK,2017,45,11,0-5 months,cases
Denmark,DNK,2018,45,11,0-5 months,cases
Denmark,DNK,2019,45,11,0-5 months,cases
Denmark,DNK,2020,45,11,0-5 months,cases
Denmark,DNK,2021,45,11,0-5 months,cases
Denmark,DNK,2022,45,11,0-5 months,cases
Denmark,DNK,2023,45,11,0-5 months,cases
Denmark,DNK,2024,45,11,0-5 months,cases
Denmark,DNK,2015,46,11,0-5 months,cases
Denmark,DNK,2016,46,11,0-5 months,cases
Denmark,DNK,2017,46,11,0-5 months,cases
Denmark,DNK,2018,46,11,0-5 months,cases
Denmark,DNK,2019,46,11,0-5 months,cases
Denmark,DNK,2020,46,11,0-5 months,cases
Denmark,DNK,2021,46,11,0-5 months,cases
Denmark,DNK,2022,46,11,0-5 months,cases
Denmark,DNK,2023,46,11,0-5 months,cases
Denmark,DNK,2024,46,11,0-5 months,cases
