week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2024 W34,2024/08/18 00:00:00+00,2024/08/24 00:00:00+00,2025/01/12 00:00:00+00,1,32093,1,0,0,0,0,22318,520,1540,2238,5462,0.2,0,0,0,0.21,0.07,RSV,952
2024 W35,2024/08/25 00:00:00+00,2024/08/31 00:00:00+00,2025/01/12 00:00:00+00,554,1747234,60,16,82,96,300,275036,263328,615601,410828,182307,7.05,2.95,5.04,6.88,35.08,10.16,COVID-19,953
2024 W35,2024/08/25 00:00:00+00,2024/08/31 00:00:00+00,2025/01/12 00:00:00+00,29,67234,8,8,6,4,3,18157,5854,12466,10762,19973,0.56,0.78,0.45,0.21,0.52,0.46,Influenza,954
2024 W35,2024/08/25 00:00:00+00,2024/08/31 00:00:00+00,2025/01/12 00:00:00+00,7,32100,3,0,0,0,4,22321,520,1540,2238,5466,0.33,0,0,0,0.21,0.1,RSV,955
2024 W36,2024/09/01 00:00:00+00,2024/09/07 00:00:00+00,2025/01/12 00:00:00+00,505,1747739,79,18,61,93,254,275115,263346,615662,410921,182561,6.42,3.05,4.78,6.7,34.26,9.81,COVID-19,956
2024 W36,2024/09/01 00:00:00+00,2024/09/07 00:00:00+00,2025/01/12 00:00:00+00,18,67252,5,2,9,1,1,18162,5856,12475,10763,19974,0.63,0.88,0.49,0.31,0.43,0.51,Influenza,957
2024 W36,2024/09/01 00:00:00+00,2024/09/07 00:00:00+00,2025/01/12 00:00:00+00,7,32107,6,0,0,0,1,22327,520,1540,2238,5467,0.36,0,0,0.03,0.21,0.11,RSV,958
2024 W37,2024/09/08 00:00:00+00,2024/09/14 00:00:00+00,2025/01/12 00:00:00+00,457,1748196,56,25,61,71,244,275171,263371,615723,410992,182805,6.45,3.1,4.19,6.34,34.48,9.61,COVID-19,959
2024 W37,2024/09/08 00:00:00+00,2024/09/14 00:00:00+00,2025/01/12 00:00:00+00,32,67284,6,7,6,7,6,18168,5863,12481,10770,19980,0.56,0.72,0.56,0.39,0.64,0.55,Influenza,960
2024 W01,2023/12/31 00:00:00+00,2024/01/06 00:00:00+00,2025/01/12 00:00:00+00,461,30985,215,7,30,57,151,21927,488,1460,2081,5014,17.55,1.24,1.48,3.27,14.86,7.08,RSV,961
2024 W02,2024/01/07 00:00:00+00,2024/01/13 00:00:00+00,2025/01/12 00:00:00+00,940,1731072,88,34,123,189,506,273538,262721,613355,407944,173381,8.96,5.27,9.84,14.2,66.42,18.72,COVID-19,962
2024 W02,2024/01/07 00:00:00+00,2024/01/13 00:00:00+00,2025/01/12 00:00:00+00,1440,56374,265,147,279,226,523,15476,4830,10335,9074,16638,25.98,19.75,20.36,18.02,68.49,28.06,Influenza,963
2024 W02,2024/01/07 00:00:00+00,2024/01/13 00:00:00+00,2025/01/12 00:00:00+00,298,31283,122,11,15,48,102,22049,499,1475,2129,5116,13.04,1.24,1.41,3.45,15.2,6.27,RSV,964
2024 W03,2024/01/14 00:00:00+00,2024/01/20 00:00:00+00,2025/01/12 00:00:00+00,759,1731831,76,24,119,160,380,273614,262745,613474,408104,173761,9.38,4.14,7.66,11.52,59.13,16.29,COVID-19,965
2024 W03,2024/01/14 00:00:00+00,2024/01/20 00:00:00+00,2025/01/12 00:00:00+00,1274,57648,271,104,248,203,448,15747,4934,10583,9277,17086,31.94,19.28,18.56,17.32,62.73,27.63,Influenza,966
2024 W03,2024/01/14 00:00:00+00,2024/01/20 00:00:00+00,2025/01/12 00:00:00+00,210,31493,59,6,15,29,101,22108,505,1490,2158,5217,7.61,1.03,0.89,2.4,11.98,4.28,RSV,967
2024 W04,2024/01/21 00:00:00+00,2024/01/27 00:00:00+00,2025/01/12 00:00:00+00,817,1732648,121,22,85,98,491,273735,262767,613559,408202,174252,8.82,3.52,6.73,9.43,49.59,13.88,COVID-19,968
2024 W04,2024/01/21 00:00:00+00,2024/01/27 00:00:00+00,2025/01/12 00:00:00+00,1554,59202,434,122,265,243,490,16181,5056,10848,9520,17576,36.72,17.32,17.01,16.93,58.61,27.18,Influenza,969
2024 W04,2024/01/21 00:00:00+00,2024/01/27 00:00:00+00,2025/01/12 00:00:00+00,153,31646,50,3,8,16,76,22158,508,1498,2174,5293,4.35,0.52,0.63,1.52,9.06,2.84,RSV,970
2024 W05,2024/01/28 00:00:00+00,2024/02/03 00:00:00+00,2025/01/12 00:00:00+00,568,1733216,71,22,83,108,284,273806,262789,613642,408310,174536,8.13,2.79,5.34,7.19,42.42,11.63,COVID-19,971
2024 W05,2024/01/28 00:00:00+00,2024/02/03 00:00:00+00,2025/01/12 00:00:00+00,1370,60572,410,109,213,211,427,16591,5165,11061,9731,18003,36.16,16.49,15.98,16.26,54.87,25.95,Influenza,972
2024 W05,2024/01/28 00:00:00+00,2024/02/03 00:00:00+00,2025/01/12 00:00:00+00,76,31722,23,1,4,14,34,22181,509,1502,2188,5327,2.93,0.31,0.3,0.95,6.14,1.86,RSV,973
2024 W06,2024/02/04 00:00:00+00,2024/02/10 00:00:00+00,2025/01/12 00:00:00+00,411,1733627,55,10,60,73,213,273861,262799,613702,408383,174749,5.63,3,4.76,6.06,29.54,8.77,COVID-19,974
2024 W06,2024/02/04 00:00:00+00,2024/02/10 00:00:00+00,2025/01/12 00:00:00+00,1084,61656,254,88,204,177,361,16845,5253,11265,9908,18364,30.59,14.42,14.15,13.14,45.04,21.82,Influenza,975
2024 W06,2024/02/04 00:00:00+00,2024/02/10 00:00:00+00,2025/01/12 00:00:00+00,59,31781,16,2,1,7,33,22197,511,1503,2195,5360,1.91,0.26,0.16,0.72,3.61,1.18,RSV,976
2024 W07,2024/02/11 00:00:00+00,2024/02/17 00:00:00+00,2025/01/12 00:00:00+00,376,1734003,45,26,60,54,191,273906,262825,613762,408437,174940,4.18,2.64,3.56,4.3,23.83,6.81,COVID-19,977
2024 W07,2024/02/11 00:00:00+00,2024/02/17 00:00:00+00,2025/01/12 00:00:00+00,917,62573,265,82,187,122,261,17110,5335,11452,10030,18625,23.05,12.25,13.57,11.68,37.18,18.35,Influenza,978
2024 W07,2024/02/11 00:00:00+00,2024/02/17 00:00:00+00,2025/01/12 00:00:00+00,47,31828,19,2,2,7,17,22216,513,1505,2202,5377,1.71,0.41,0.14,0.44,2.79,0.96,RSV,979
2024 W08,2024/02/18 00:00:00+00,2024/02/24 00:00:00+00,2025/01/12 00:00:00+00,265,1734268,27,15,32,40,151,273933,262840,613794,408477,175091,3.33,2.58,2.74,3.4,19.88,5.59,COVID-19,980
2024 W08,2024/02/18 00:00:00+00,2024/02/24 00:00:00+00,2025/01/12 00:00:00+00,834,63407,181,67,188,154,244,17291,5402,11640,10184,18869,19.49,10.29,11.25,9.15,29.37,14.95,Influenza,981
2024 W08,2024/02/18 00:00:00+00,2024/02/24 00:00:00+00,2025/01/12 00:00:00+00,42,31870,17,4,3,3,15,22233,517,1508,2205,5392,1.65,0.31,0.12,0.34,1.76,0.74,RSV,982
2024 W09,2024/02/25 00:00:00+00,2024/03/02 00:00:00+00,2025/01/12 00:00:00+00,222,1734490,29,9,25,38,121,273962,262849,613819,408515,175212,2.44,1.5,1.66,2.81,15.93,4.23,COVID-19,983
2024 W09,2024/02/25 00:00:00+00,2024/03/02 00:00:00+00,2025/01/12 00:00:00+00,559,63966,146,50,105,79,179,17437,5452,11745,10263,19048,13.7,7.75,8.55,7.35,22.89,11.32,Influenza,984
2024 W09,2024/02/25 00:00:00+00,2024/03/02 00:00:00+00,2025/01/12 00:00:00+00,26,31896,14,0,0,3,9,22247,517,1508,2208,5401,1.22,0.21,0.12,0.21,1.2,0.53,RSV,985
2024 W10,2024/03/03 00:00:00+00,2024/03/09 00:00:00+00,2025/01/12 00:00:00+00,167,1734657,18,5,14,31,99,273980,262854,613833,408546,175311,1.98,1.03,1.38,2.5,13.78,3.61,COVID-19,986
2024 W10,2024/03/03 00:00:00+00,2024/03/09 00:00:00+00,2025/01/12 00:00:00+00,356,64322,89,33,72,52,110,17526,5485,11817,10315,19158,12.12,6.2,6.21,4.85,18.68,8.91,Influenza,987
2024 W10,2024/03/03 00:00:00+00,2024/03/09 00:00:00+00,2025/01/12 00:00:00+00,14,31910,6,0,2,2,4,22253,517,1510,2210,5405,1.09,0,0.05,0.13,1.12,0.43,RSV,988
2024 W11,2024/03/10 00:00:00+00,2024/03/16 00:00:00+00,2025/01/12 00:00:00+00,168,1734825,13,6,20,28,101,273993,262860,613853,408574,175412,1.58,0.83,1.22,2.22,12.97,3.26,COVID-19,989
2024 W11,2024/03/10 00:00:00+00,2024/03/16 00:00:00+00,2025/01/12 00:00:00+00,461,64783,133,37,88,57,146,17659,5522,11905,10372,19304,10.97,5.64,5.06,4.25,16.02,7.74,Influenza,990
2024 W11,2024/03/10 00:00:00+00,2024/03/16 00:00:00+00,2025/01/12 00:00:00+00,26,31936,13,0,0,0,13,22266,517,1510,2210,5418,0.89,0,0.09,0.1,1.03,0.38,RSV,991
2024 W12,2024/03/17 00:00:00+00,2024/03/23 00:00:00+00,2025/01/12 00:00:00+00,169,1734994,17,5,18,27,102,274010,262865,613871,408601,175514,1.45,0.78,1.36,2.06,11.94,3.07,COVID-19,992
2024 W12,2024/03/17 00:00:00+00,2024/03/23 00:00:00+00,2025/01/12 00:00:00+00,379,65162,111,39,56,56,117,17770,5561,11961,10428,19421,10.17,6.26,5.41,4.18,15.63,7.68,Influenza,993
