year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2021,W48,324,248,12,26,16,22,25.03,2.12,2.18,1.65,4.08,6.83
2021,W31,9,9,0,0,0,0,0.79,0.05,0,0.03,0,0.17
2022,W38,71,49,0,2,7,13,5.53,0.31,0.33,0.46,1.85,1.61
2022,W39,113,70,5,9,5,24,7.87,0.36,0.54,0.62,2.62,2.29
2022,W40,170,120,2,12,12,24,10.47,0.47,0.75,0.8,3.01,2.98
2022,W41,177,128,2,11,14,22,15.84,0.62,1.03,1.26,3.69,4.35
2022,W42,325,233,8,21,23,40,22.46,0.98,1.22,1.62,4.59,5.98
2022,W43,421,321,9,20,26,45,28.38,1.19,1.66,1.91,6.57,7.66
2022,W44,437,308,6,30,25,68,35.76,1.55,1.92,2.42,9.1,9.74
2022,W45,646,457,15,32,43,99,42.35,1.91,2.34,2.76,12.11,11.73
2022,W46,729,521,16,38,39,115,43.93,2.58,2.37,3.71,15.24,12.84
2022,W47,609,356,19,31,62,141,41.26,2.69,2.55,4.48,18.38,13.05
2022,W48,678,376,17,40,73,172,36.16,3.15,2.6,5.28,20.4,12.62
2022,W49,663,366,25,40,70,162,31.71,2.95,2.72,5.39,21.38,11.93
2022,W50,502,221,15,36,66,164,25.62,2.38,2.77,5.39,23.36,10.99
2022,W51,532,191,6,42,73,218,16.73,1.34,2.18,4.59,22.03,8.55
2022,W52,286,96,5,15,39,131,13.99,0.98,2.18,4.48,23.57,8.17
2023,W01,444,138,8,36,62,200,10.14,1.14,2.04,3.76,18.98,6.51
2022,W30,21,16,0,0,0,5,1.51,0.1,0.02,0.05,0.47,0.4
2023,W27,1,1,0,0,0,0,0.26,0.05,0,0,0.09,0.07
2021,W49,304,207,12,23,18,43,18.8,1.4,1.55,1.06,4.38,5.23
2021,W32,12,11,0,0,1,0,0.99,0,0,0.03,0,0.2
2022,W31,16,13,0,0,1,2,1.75,0,0.05,0.03,0.56,0.45
2023,W28,4,2,1,0,0,1,0.33,0.05,0.02,0,0.09,0.09
2021,W50,180,116,3,17,7,37,15.41,0.88,1.34,1.08,4.51,4.47
2021,W33,10,10,0,0,0,0,0.99,0,0,0.03,0,0.2
2022,W32,32,24,0,2,0,6,1.84,0.05,0.07,0.1,0.43,0.48
2023,W29,9,7,0,1,0,1,0.36,0.05,0.07,0.03,0.09,0.12
2021,W34,9,9,0,0,0,0,1.35,0,0,0,0.04,0.27
2021,W51,206,145,2,17,17,25,9.55,0.52,0.91,0.8,3.01,2.85
2022,W33,26,19,1,1,3,2,2.07,0.1,0.07,0.1,0.56,0.55
2023,W30,5,2,0,2,1,0,0.49,0,0.09,0.03,0.04,0.14
