year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2024,W02,1440,265,147,279,226,523,25.98,19.75,20.36,18.02,68.49,28.06
2024,W03,1274,271,104,248,203,448,31.94,19.28,18.56,17.32,62.73,27.63
2024,W04,1554,434,122,265,243,490,36.72,17.32,17.01,16.93,58.61,27.18
2024,W05,1370,410,109,213,211,427,36.16,16.49,15.98,16.26,54.87,25.95
2024,W06,1084,254,88,204,177,361,30.59,14.42,14.15,13.14,45.04,21.82
2024,W07,917,265,82,187,122,261,23.05,12.25,13.57,11.68,37.18,18.35
2024,W08,834,181,67,188,154,244,19.49,10.29,11.25,9.15,29.37,14.95
2024,W09,559,146,50,105,79,179,13.7,7.75,8.55,7.35,22.89,11.32
2024,W10,356,89,33,72,52,110,12.12,6.2,6.21,4.85,18.68,8.91
2024,W11,461,133,37,88,57,146,10.97,5.64,5.06,4.25,16.02,7.74
2024,W12,379,111,39,56,56,117,10.17,6.26,5.41,4.18,15.63,7.68
2024,W13,347,65,45,87,49,101,7.38,5.89,4.76,3.32,12.11,6.16
2024,W14,226,48,30,60,24,64,4.77,5.38,4.94,2.73,8.89,5
2024,W15,200,32,29,64,33,42,3.89,3.88,3.7,2.24,6.4,3.8
2024,W16,161,38,16,34,30,43,3.16,3.21,3.09,2.04,4.77,3.11
2024,W17,119,26,17,34,16,26,3.46,3,2.37,1.75,4.08,2.76
2024,W18,147,41,25,33,22,26,2.83,2.84,2.34,1.78,4.04,2.62
2024,W19,138,19,13,33,31,42,2.6,2.84,2.18,1.75,3.91,2.5
